lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity,rating
"43.6334636,-79.4143057",55549f8c498e2fc8733c6d14,13006,Beer Bar,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Craft Brasserie & Grille,"107 Atlantic Ave (@ Snooker), Toronto ON M6K 1Y2",Toronto,CA,0.95962876743626,7.4
"43.6334636,-79.4143057",4ad7cfdaf964a520fb0e21e3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13051, 'name': 'Fish and Chips Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fishandchips_', 'suffix': '.png'}}, {'id': 13297, 'name': 'Latin American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/latinamerican_', 'suffix': '.png'}}]",Brazen Head Irish Pub,"165 E. Liberty St (at Lynn Williams St.), Toronto ON M6K 3K4",Toronto,CA,0.9591039043637734,6.4
"43.6334636,-79.4143057",583c921702b60e012fae6e7b,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Liberty Commons at Big Rock Brewery,"42 Liberty St (at Atlantic), Toronto ON M6K 0C4",Toronto,CA,0.9515582258393178,7.6
"43.6334636,-79.4143057",4b8c4174f964a520d8c632e3,10000,Arts and Entertainment,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",LG Fashion Week Beauty by l'Oréal Paris,"105 Princes' Blvd (btw Strachan Ave & Ontario Pl Blvd), Toronto ON M6K 3C3",Toronto,CA,0.9137557349009243,
"43.6334636,-79.4143057",5d0d4159733dc40023c175de,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",Skyline Lounge,"Budweiser Stage (909 Lakeshore Blvd), Toronto ON M6K 3L3",Toronto,CA,0.9136322377073981,
"43.6334636,-79.4143057",521fa96d11d272b880a9f45c,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}]",Wine Garden,"Heritage Court Direct Energy Ctr, Toronto ON",Toronto,CA,0.9116748071900066,
"43.6334636,-79.4143057",592c69be9deb7d7d29d7adfc,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Kibo Sushi House,"171 E Liberty St, Toronto ON M6K 3P6",Toronto,CA,0.9082107109115946,
"43.6334636,-79.4143057",4c4a2ea1712ac928b9d2116b,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",American Express Lounge,"909 Lake Shore Blvd W (at Ontario Place), Toronto ON M6K 3L3",Toronto,CA,0.8855983747769332,7.6
"43.6334636,-79.4143057",4e11117e483bee47ff2f42fe,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",Neptune 2 Rooftop Patio,"215 Fort York Blvd (Fleet Street), Toronto ON M5V 4A2",Toronto,CA,0.8823565734468685,
"43.6334636,-79.4143057",4afd9d27f964a520152922e3,13027,Bistro,"[{'id': 13027, 'name': 'Bistro', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",Merci Mon Ami,"171 E Liberty St (Liberty Village), Toronto ON M6K 3P6",Toronto,CA,0.861571995776396,7.5
